ID,Industrial Estate Name,Sub area,State Name ,District Name,Sub District,Village name,Coordinates(Lat Long),Park Description,Land Category,Park Type,Pollution Category,Environment clearence required,Environment Clearence taken,Land  Premium base rate,Lease rent,lease period,totalplots,industrial plots,Commercial Plots,Residential Plots,Institutional Plots,plots allotted,plots vacant,land available,total land,Industrial land,Commercial land,Residential Land,Institutional land,Green,sector,mixed Sector List,sub sector,NH,Distance NH,SH ,Distance SH,Railway Station,Distance Railway Station,Airport,DistanAirport,seaport,distance seaport,dryt port,dist drytp,zonal,distance zonal,police station,distance police station,fir station,distance firestation,bank,distance bank,hospital,dist_hospi,School,distance School,elec_avai,elec_cap,elec_uti,water_avai,water_cap,water_uti,gas_avai,gas_cap,gas_uti,CETP_avai,CETP_cap,CETP_uti,elec_pole,powerss_av,powerss_ca,powerss_ut,wtp_avai,wtp_cap,wtp_uti,ict_avai,ict_speed,swd_avai,swd_cap,swd_uti,oth_info,adm_name,adm_desi,adm_email,adm_phone,project_ur,url_land_a
1,IIE Haridwar,, UTTARAKHAND,HARIDWAR,HARIDWAR,"Rawli mehdood,Bansowali,salempur mehdood,Jwalapur,ranipur",,,3,5,Orange,Yes,Yes,6000,5,90,1028,,,,,1026,2,0.01,41.27,,,,,,15,"16,4,7,18,20,17,9,11,6,10,8","construction,electronic hardware,food processing,gems and jewllery,metals,chemicals,automobile,textiles,pharmaceuticals,IT & ITES,",NH-72,6,,1.5,Haridwar Railway Station,9.4,Jolly Grant Airport ,51,Deen Dayal Port (Kandla),1313," Kashipur Infrastructure and Freight Terminals(KIFTPL),Proposed ICD in Haridwar","161,5","IIE  Haridwar,Regional Office, SIIDCUL",,"SIIDCUL Police Chowki,Haridwar",2.8,"C.I.S.F Fire Station services,Haridwar",6.8,Punjab National Bank ,0.4,Metro Hospital Haridwar,0.3,,,Yes,180 MVA,85,Yes,15,80,Yes,null,null,Yes,4,,Yes[2020+1500],Yes,180MVA,85,Yes,4,null,Yes,100,Yes,yes,85,Null,Ganpati Singh Rawat,Regional Manager,rmharidwar@siidcul.com,9634728451,,
2,IT Park,, UTTARAKHAND,DEHARDUN,DEHRADUN,"Gujrara Mansingh wala,Drohan Khas",,,3,5,Green,Yes,Yes,7500,5,90,71,,,,,67,4,,39.81,,,,,,20,,IT and ITES,,"NH-72,NH-72A","10,15",,Dehradun Railway Station ,9,Jolly Grant Airport ,32,Deen Dayal Port (Kandla),1352," Multimodel Logistic Park Sidcul Concor Infra Company Ltd. (SCICL) Rudapur, U S Nagar, Kashipur Infrastructure and Freight Terminals(KIFTPL),","2,30,282",Regional office IT Park,0.5,"SIIDCUL Police Chowki,IT Park",0.7,"Uttarakhand Fire and Emergency services,Dehradun",8,"Canera Bank,State Bank of India","0.5,0.5",Max Hospital Dehradun,3,,,Yes,20000,40,Yes,0.06,0.12,No,0,0,NA,NA,NA,Yes,Yes,33,8.5,No,NA,NA,Yes,100,Yes," 0,"," 0,",NA,Mr. Shikhar Saxena , Regional Manager,rmitpark@siidcul.com,9719536093,,
3,IIE Selaqui,, UTTARAKHAND,DEHARDUN,VIKASNAGAR,Central Hope Town Selaqui,,,3,5,Orange,Yes,Yes,5000,5,90,48,,,,,45,3,0.574,20.23,,,,,,18,null,Pharmaceuticals," NH-72, NH-7","2,5",null,null,Dehradun Railway Station,20,Jolly Grant Airport ,50,Deen Dayal Port (Kandla),1368, Kashipur Infrastructure and Freight Terminals(KIFTPL),291,"IIE Pharmacity Selaqui,Regional Office, SIIDCUL",1,Selaqui Police Station,0.5,"Uttarakhand Fire and Emergency services,Dehradun",0.5,Oriental Bank Of commerce,2,Joshi Multi Specilist Hospital Selaqui,2,,,Yes,20000,80,Yes,0.075,0.15,null,null,null,null,null,null,Yes,Yes,20000,80,Yes,0.075,0.15,Yes,100,null,null,null, null,Girdhar Singh Rawat ,Regional Manager,rmselaqui@siidcul.com,7055319915,,
4,IIE Pantnagar,, UTTARAKHAND, Udham Singh Nagar,RUDRAPUR," Kalyanpur,foolbag,Jagatpura,Bhurarani,    Shimlabahadur,",,,3,5,Red,Yes,Yes,6500,5,90,927,,,,,894,33,,1308.6055,,,,,,15,"[2,3,4,6,7,8,11,12,14,16,17,18,20],"," Biotechnology,Capital goods,construction,electronic hardware,food processing,gems and jewllery,metals,renewable energy,chemicals,automobile,textiles,pharmaceuticals,IT & ITES,"," NH 87,"," 2.5,"," SH 06,"," 15.76,"," Rudrapur railway station,"," 6.4,"," Pantnagar Airport,"," 10,", Deen Dayal Port (Kandla)," 1370,"," Multimodel Logistic Park Sidcul Concor Infra Company Ltd. (SCICL) Rudapur, U S Nagar, Kashipur Infrastructure and Freight Terminals(KIFTPL),"," 3,55,"," Regional Office, SIIDCUL, Rudrapur,"," 3,"," SIIDCUL Police Chowki, IIE Pantnagar,"," 4.5,","  Uttarakhand Fire and Emergency services, Rudrapur"," 4.5,", Bank of Baroda," 4.5,"," District Hospital, Rudrapur, U S Nagar, ,"," 2,",,," Yes,"," 580000,"," 75,", No," 0,"," 0,"," No,"," 0,"," 0,"," Yes,"," 5,"," 0,"," Yes,"," Yes,"," 0,"," 0,"," Yes,"," 4,"," 0,", Yes,50," Yes,"," 0,"," null,", null," Mr. Paritosh Verma (PCS)

", Regional Manager, rmpantnagr@siidcul.com,9412923570,,
5,IIE Kotdwar,, UTTARAKHAND,PAURI,KOTDWAR,"Lokmanipur,Jaidevpur,Kishandevpur,Srirampur",,,3,5,Orange,Yes,Yes,2000,5,90,128,,,,,,,,24.68,,,,,,15,"16,18,6,7,10,11,15,20","Auto, Pharma, FMCG, Electronics, packaging, Food,IT & ITES",NH-534,15,null,null,Kotdwar Railway Station ,15,Jolly Grant Airport ,83,Deen Dayal Port (Kandla),1321, Kashipur Infrastructure and Freight Terminals(KIFTPL),136,Regional office siidcul Kotdwar,0.2,SIIDCUL Police Chowki  KalalGhati ,3,"Uttarakhand Fire and Emergency services,Kotdwar",15,Punjab National Bank ,3,Government Hospital  Kotdwar,15,,,Yes,14,,Yes,,null,null,null,null,null,null,null,Yes,Yes,14,,Yes,null,null,Yes,25,null,null,null,null,Mr. Mrityunjai Singh ,Regional Manager,rmkotdwar@siidcul.com,9451516832,,
6,"IIE Sitarganj,Phase-II","Textile Park,Sitarganjhase II", UTTARAKHAND,U.S. NAGAR,Sitarganj,"bara, prahladpalsiya, lalapatti, kalayanpur",,,3,5,Red,Yes,Yes,2000,5,90,72,,,,,35,37,202.34,728.4342,,,,,,7,"6,7,15,17","Electronics Hardware , Food Processing , Mixed , Textiles ",NH-09,12, SH- 48,2,Haldwani Railway Station ,34,Pantnagar Airport ,65,Deen Dayal Port (Kandla),1398," Multimodel Logistic Park Sidcul Concor Infra Company Ltd. (SCICL) Rudapur, U S Nagar, Kashipur Infrastructure and Freight Terminals(KIFTPL),","50.4,109",Regional office Sitarganj,3,"Eldeco - SIIDCUL Police Chowki,Sitarganj",0.2,"Uttarakhand Fire and Emergency services,Sitarganj",0.2,UCO Bank,9,Prayas Hospital Sitarganj,11,,,Yes,20000,40,Yes,null,null,null,null,null,Yes,4,50,Yes,Yes,33,8.5,No,null,null,Yes,50,Yes,null,null,," Mr. Paritosh Verma (PCS)

", Regional Manager, rmsitarganj@siidcul.com,9412923570,,
7,ESIPL Sitarganj,, UTTARAKHAND,U.S. NAGAR,Sitarganj," Mirabara Rana , lalarpatti, lalarkhas",,,3,6,Red,Yes,Yes,2000,5,90,365,,,,,280,85,20,443.5354639,,,,,,7,"4,6,7,11,14,15,16,17,18","Construction , Electronics Hardware , Food Processing , Metals , Chemicals , Mixed , Automobiles , Textiles , Pharmaceuticals",NH-09,12, SH- 48,2,Haldwani Railway Station ,34,Pantnagar Airport ,65,Deen Dayal Port (Kandla),1398," Multimodel Logistic Park Sidcul Concor Infra Company Ltd. (SCICL) Rudapur, U S Nagar, Kashipur Infrastructure and Freight Terminals(KIFTPL),","50.4,109","ELDECO Siidcul Site Office, Sitarganj",3,"Eldeco - SIIDCUL Police Chowki,Sitarganj",0.2,"Uttarakhand Fire and Emergency services,Sitarganj",0.2,UCO Bank,9,Prayas Hospital Sitarganj,11,,,Yes,20000,80,Yes,null,null,null,null,null,Yes,4,50,Yes,Yes,20000,80,Yes,0.075,0.15,Yes,50,null,null,null,,Mr. Sandeep Chawla,General Manager (Marketing), sundeep.chawla@eldecoproperties.com,9837394111,,
8,SIDC Bhadrabad Site I,, UTTARAKHAND,HARIDWAR,HARIDWAR,Bhadrabad,,,3,2,"Red,",Yes,No,"6000,",5,90,270,270,0,0,0,270,0,0,40.87,,0,0,0,,15,"16,4,7,18,20,17,9,11,6,10,8","construction,electronic hardware,food processing,gems and jewllery,metals,chemicals,automobile,textiles,pharmaceuticals,IT & ITES,",NH-72,6,0,0,Haridwar Railway Station,9.4,Jolly Grant Airport ,65,Deen Dayal Port (Kandla),1313," Kashipur Infrastructure and Freight Terminals(KIFTPL),Proposed ICD in Haridwar","161,5","IIE  Haridwar,Regional Office, SIIDCUL",8,Poilice station Bhadrabad,0 km,"C.I.S.F Fire Station services,Haridwar",8,Punjab National Bank ,2,Hospital,3,"KV, BHEL, Haridwar",3,yes,20 MVA,85,No,null,null,null,null,null,null,null,null,Yes,Yes,20 MVA,85,null,null,null,,,Yes,no,null,Null,Ganpati Singh Rawat,Regional Manager,rmharidwar@siidcul.com,9634728451,,
9,IIE Kashipur (Escort Farm),Aroma Park Kashipur, UTTARAKHAND,Udham Singh Nagar,Kashipur,Kashipur,,,3,5,Orange,Yes,Yes,2500,5,90,155,,,,,1,154,,323.74,,,,,,15,"16,18,6,7,10,11,15,20","Auto, Pharma, FMCG, Electronics, packaging, Food,IT & ITES",NH-309,7,null,null,Kashipur Railway Station,10," Pantnagar Airport,",63,Deen Dayal Port (Kandla),1327," Multimodel Logistic Park Sidcul Concor Infra Company Ltd. (SCICL) Rudapur, U S Nagar, Kashipur Infrastructure and Freight Terminals(KIFTPL),","58,11",Regional office siidcul Kashipur,0.5,Kashipur Police Station,9.5,"Fire Brigade Station, Kashipur",7.5,State Bank of India,3,"Government Hospital,Rajat Memorial Hospital","7.7,7.8",,,Yes,,,Yes,,null,null,null,null,Yes,,,Yes,Yes,,,Yes,null,null,Yes,25,Yes Proposed,null,null,Null,Kamal Kishore Kafaltiya,Regional Manager,rmkashipur@siidcul.com,9412087774,,
10,IIE Bhimtal,, UTTARAKHAND,NAINITAL,Nainital,Anu,,,3,5,Orange,Yes,Yes,2750,5,90,61,,,,,60,1,0.06,41.6,,,,,,6,"6,7,10,15,18","Electronics Hardware,Food Processing,Medical Devices,Mixed ,Pharmaceuticals ",null,null,SH -10,1.5,Kathgodam Railway Station ,21.5,Pantnagar Airport ,55.4,Deen Dayal Port (Kandla),1400," Multimodel Logistic Park Sidcul Concor Infra Company Ltd. (SCICL) Rudapur, U S Nagar, Kashipur Infrastructure and Freight Terminals(KIFTPL)","52.8,95.8","IIE  Bhimtal,Regional Office, SIIDCUL",96.8,"SIIDCUL Police Chowki, Bhimtal",2.8,"Uttarakhand Fire and Emergency services,Bhimtal",6.8,"Induslnd Bank,Indian Bank","1,1",Samudayik Swastha Kendra,2.5,,,Yes,20000,50,Yes,2.75,null,null,null,null,null,null,null,Yes,Yes,20000,80,Yes,2.75,,Yes,100,null,null,null,,Mr. Kamal Kishor Kafaltiya,Regional Manager, rmkashipur@siidcul.com,9412087774,,
11,SIDC Bajpur I,, UTTARAKHAND,USNagar,Bajpur,Pipaliya,,,3,5,Red,Yes,,3300,5,90,24,,,,,,,,18.945,,,,,,15,"16,18,6,7,10,11,15,20","Auto, Pharma, FMCG, Electronics, packaging, Food,IT & ITES",NH-309,7,null,null,Kashipur Railway Station,10," Pantnagar Airport,",63,Deen Dayal Port (Kandla),1327," Multimodel Logistic Park Sidcul Concor Infra Company Ltd. (SCICL) Rudapur, U S Nagar, Kashipur Infrastructure and Freight Terminals(KIFTPL),","58,11",Regional office siidcul Kashipur,0.5,Kashipur Police Station,9.5,"Fire Brigade Station, Kashipur",7.5,State Bank of India,3,"Government Hospital,Rajat Memorial Hospital","7.7,7.8",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Kamal Kishore Kafaltiya,Regional Manager,rmkashipur@siidcul.com,9412087774,,
12,SIDC Bajpur II,, UTTARAKHAND,USNagar,Bajpur,Badripura,,,3,5,Red,Yes,,3025,5,90,6,,,,,,,,17.478,,,,,,15,"16,18,6,7,10,11,15,20","Auto, Pharma, FMCG, Electronics, packaging, Food,IT & ITES",NH-309,7,null,null,Kashipur Railway Station,10," Pantnagar Airport,",63,Deen Dayal Port (Kandla),1327," Multimodel Logistic Park Sidcul Concor Infra Company Ltd. (SCICL) Rudapur, U S Nagar, Kashipur Infrastructure and Freight Terminals(KIFTPL),","58,11",Regional office siidcul Kashipur,0.5,Kashipur Police Station,9.5,"Fire Brigade Station, Kashipur",7.5,State Bank of India,3,"Government Hospital,Rajat Memorial Hospital","7.7,7.8",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Kamal Kishore Kafaltiya,Regional Manager,rmkashipur@siidcul.com,9412087774,,
13,SIDC Balbhadrapur,, UTTARAKHAND,PAURI,KOTDWAR,Balbhadrapur,"Latitude:29.740949
Longitude:78.484632",,3,5,Red,Yes,Yes,1760,5,90,55,51,null,null,2,51,2,0.26,10.435224,5.26,null,null,2,0.573,1,1,"STEEL,AUTOMOBILpackaging",NH-534,5,haridwar road,0,Kotdwar Railway Station ,5,Jolly Grant Airport ,80,Deen Dayal Port (Kandla),1321, Kashipur Infrastructure and Freight Terminals(KIFTPL),135,Regional office siidcul Kotdwar,10,SIIDCUL Police Chowki  KalalGhati ,10,"Uttarakhand Fire and Emergency services,Kotdwar",10,Punjab National Bank State Bank of India,2,Government Hospital  Kotdwar,2,DAV public school,0.2,Yes,10000,0.6,No,null,null,null,null,null,null,null,null,Yes,Yes,33,60%,Yes,null,null,null,null,null,null,null,null,Mr.Mrityunjai Singh,Regional Manager,rmkotdwar@siidcul.com,9451516832,,
14,SIDC Jashodarpur,, UTTARAKHAND,PAURI,KOTDWAR,Jasodharpur,"Latitude:29.769127
Longitude:78.425391",,3,5,Red,Yes,Yes,1760,5,90,43,42,null,null,null,42,1,0.06,30.5946392,19.78,null,null,null,,1,1,"STEEL,AUTOMOBILpackaging",NH-534,10,haridwar road,0,Kotdwar Railway Station ,10,Jolly Grant Airport ,65,Deen Dayal Port (Kandla),1321, Kashipur Infrastructure and Freight Terminals(KIFTPL),120,Regional office siidcul Kotdwar,5,SIIDCUL Police Chowki  KalalGhati ,0,"Uttarakhand Fire and Emergency services,Kotdwar",15,Punjab National Bank State Bank of India,2,Government Hospital  Kotdwar,10,Avn public school,2,Yes,80000 10000,0.6,No,null,null,null,null,null,null,null,null,Yes,Yes,"132,33",60%,Yes,null,null,null,null,null,null,null,null,Mr.Mrityunjai Singh,Regional Manager,rmkotdwar@siidcul.com,9451516832,,
15,SIDC Kashipur,, UTTARAKHAND,USNagar,Kashipur,Dohoriparsa,,,3,5,Orange,Yes,,-,5,90,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamal Kishore Kafaltiya,Regional Manager,rmkashipur@siidcul.com,9412087774,,
16,SIDC Mohan,, UTTARAKHAND,Almora,Ramnagar,Mohan,,,3,5,Orange,Yes,,2750,5,90,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamal Kishore Kafaltiya,Regional Manager,rmkashipur@siidcul.com,9412087774,,
17,SIDC Munikireti,, UTTARAKHAND,DEHARDUN,DEHARDUN,Munikireti,,,3,5,Red,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Girdhar Singh Rawat ,Regional Manager,rmselaqui@siidcul.com,7055319915,,
18,SIDC Peepalsana,, UTTARAKHAND,Nainital,Ramnagar,Peepalsana,,,3,5,Red,Yes,,3300,5,90,5,,,,,,,,11.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamal Kishore Kafaltiya,Regional Manager,rmkashipur@siidcul.com,9412087774,,
19,SIDC Tatasu Mazadi,, UTTARAKHAND,CHAMOLI,,Tatasu Mazadi,,,3,5,Orange,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ganpati Singh Rawat,Regional Manager,rmharidwar@siidcul.com,9634728451,,
20,SIDC Haridwar,, UTTARAKHAND,HARIDWAR,HARIDWAR,Haridwar,,,3,5,Orange,Yes,No,"6000,",5,90,177,175,1,0,2,177,0,0,45.72,,,,,,15,"16,4,7,18,20,17,9,11,6,10,8","construction,electronic hardware,food processing,gems and jewllery,metals,chemicals,automobile,textiles,pharmaceuticals,IT & ITES,",NH-72,2,0,0,Haridwar Railway Station,2.5,Jolly Grant Airport ,42,Deen Dayal Port (Kandla),1313," Kashipur Infrastructure and Freight Terminals(KIFTPL),Proposed ICD in Haridwar","161,5","IIE  Haridwar,Regional Office, SIIDCUL",10,Police Station Haridwar,0,Haridwar,2.5,"SBI, PNB",2,Mela Hospital,1,Whizzkid International School,0,yes,20 MVA,85,No,null,null,null,null,null,null,null,null,Yes,Yes,20 MVA,85,null,null,null,,,Yes,no,null,Null,Ganpati Singh Rawat,Regional Manager,rmharidwar@siidcul.com,9634728451,,
21,SIDC Landora,, UTTARAKHAND,HARIDWAR,Landhora,Landora,,,3,5,Red,Yes,No,2464,5,90,6,6,0,0,0,4,2,0,39.14,39.14,0,0,0,0,2,"11,14","Metal,Chemical",NH-334,15,0,0,Roorkee,17,Jolly Grant Airport ,55,Deen Dayal Port (Kandla),1313," Kashipur Infrastructure and Freight Terminals(KIFTPL),Proposed ICD in Haridwar","161,5","IIE  Haridwar,Regional Office, SIIDCUL",25,Police Station Landhora,2,Roorke,12,PNB,2,Govt. Hosptal,12,null,null,yes,20 MVA,85,No,null,null,null,null,null,null,null,null,Yes,Yes,20 MVA,85,null,null,null,,,Yes,no,null,Null,Ganpati Singh Rawat,Regional Manager,rmharidwar@siidcul.com,9634728451,,
22,Ganga Nagari Bahadrabad,, UTTARAKHAND,HARIDWAR,HARIDWAR,Bahadrabad,,,3,5,Red,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ganpati Singh Rawat,Regional Manager,rmharidwar@siidcul.com,9634728451,,
23,Textile Park Jaspur,, UTTARAKHAND,USNagar,Jaspur,Haripura and Jaspur patti mansa,,,3,5,Red,Yes,,2500,5,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamal Kishore Kafaltiya,Regional Manager,rmkashipur@siidcul.com,9412087774,,
24,Textile Park Kashipur,, UTTARAKHAND,USNagar,Kashipur,Kachnalgosain,,,3,5,Red,Yes,,2500,5,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamal Kishore Kafaltiya,Regional Manager,rmkashipur@siidcul.com,9412087774,,
25,SIDC Selaqui,, UTTARAKHAND,DEHARDUN,VIKASNAGAR,Central Hope Town Selaqui,,,3,5,Orange,Yes,Yes,5000,5,90,210,203,3,0,4,207,3,0.664,83.291,50.344,1.019,0,23.544,3.739,,null,, NH-72 ,0,null,null,Dehradun Railway Station,20,Jolly Grant Airport ,50,Deen Dayal Port (Kandla),1368, Kashipur Infrastructure and Freight Terminals(KIFTPL),291,"IIE Pharmacity Selaqui,Regional Office, SIIDCUL",1,Selaqui Police Station,0.5,"Uttarakhand Fire and Emergency services,Dehradun",0.5,Oriental Bank Of commerce,2,Joshi Multi Specilist Hospital Selaqui,2,,,Yes,20000,80,Yes,0.075,0.15,null,null,null,null,null,null,Yes,Yes,20000,80,Yes,0.075,0.15,Yes,100,null,null,null, null,Girdhar Singh Rawat ,Regional Manager,rmselaqui@siidcul.com,7055319915,,
26,"SIDC, Khatima",Khatima, UTTARAKHAND,U.S. NAGAR,Khatima,Amau,,,3,5,Red,Yes,-,9.408,6,90,1,1,null,null,null,1,null,null,10.439,10.439,null,null,null,null,Industry,15,-,9,2Km,-,-,Kichha Railway Station,40 K.M,PantnagarAirport,70 K.M.,-,-,-,-,"R.O. SIIDCUL, Sitarganj",45 K.M.,Khatima,2 K.M.,Tanakpur fire station,25 K.M.,"ICICI Bank, Khatima",2 K.M.,Anand Hospital & Research center ,0.3,"Nosegay Public School, Khatima",2 K.M.,Yes,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Paritosh Verma,Regional Manager,rmsitarganj@siidcul.com,9412923570,-,-
