UID,Name of Industrial Estate,District,Name of allootte Unit,Plot Number,Sector,Area at the time of allotment in Sq. Mtr.,Area at the time of Possession in Sq. Mtr.,Geometric Area,Constitution of Organization (Limited,Nature of Project,Proposed Product,PCB Category,Plot Status ,Proposed Investment (in cr.),Proposed Employment at time of allotment,Employment UK,email ID,Contact Number,Date of Allotment,Lease Deed,Lease Deed Date,Possession,Possession Date,Comment,Plot Status Date,Occupancy Certificate,Time Extension1,Time Extension1 Date,Time Extension Last,Time Extension Last Date,Land Use,Land Cost (per sq.m.),Maintenance cost towards common services (cost paid),Ref. No. - Layout Plan Approval from SIDA,Ref. No.- Building Plan Approval from SIDA,Whether industry is through FDI,Registration for SSI / EM1 / EM2 / UAM / IEM / SIA (Please select any one option),SSI / EM1 / EM2 / UAM / IEM / SIA,Subsidy From State Govt (Nil in case of No Subsidy) (in cr.),Policy under which the unit is established,Provide the name of Other Policy,NIC 5 Digit Code (as per NIC Code 2008),Women Entrepreneur,Electricity Connection,Electricity Supplier,Backup Electricity,Diesel Generator,CETP Connection,Water Connectiopn,Source of Water ,Time of Water Supply,Solid Waste Collection ,Time of Solid Waste Collection,Solar Panel,Rain Water Hasrvesting,Parking,Energy efficient fixtures,Energy Management Systems,Incubation Centre Provided,Warehouse ,Green Building,Gas Pipeline,Fire Extinguishing System,OH&S,Regulatory Authority (Property),Property Tax Payable,Regulatory AuthorityWater,Water Tax Payable,Regulatory Authority Environmental,Environmentall/Pollution Tax Payable,Total Tax payable (Rs.),Expenditure of Industry (p.a.)(Rs.),Revenue from Plots (p.a.)(Rs.),Permanent Male Employees,Permanent Female Employees,Permanent Total Employees,Contractual Male Employees,Contractual Female Employees,Contractual Total Employees,Differentally Abbled Employee,Skilled Male Employees,Skilled Female Employees,Skilled Total Employees,Semi-Skilled Male Employees,Semi-Skilled Female Employees,Semi-Skilled Total Employees,Unskilled Male Employees,Unskilled Female Employees,Unskilled Total Employees,Local Resident Male Employees,Local Resident Female Employees,Local Resident Total Employees,"Programme for skill training of employees. (Programme name, number of people trained, Month and Year of training","Harassment Prevention and Redressal (Harassment redressal team,","Sexual harassment redressal team, transport provision for women)","Community Dialogue (Website, Media Release, News Bulletin, Social Media, Other)","Community services such as drinking water supply, water harvesting, health camps etc.","Outreach activities: CSR Activities/ Clean up drives, health camp, public service activities etc.",Pollution Clearance,Date of pollution clearance taken by industry,Date of expiry of pollution clearance,Type of Emission,Air pollution- emission quality data,Reduction of Emission-Measures taken and compliance for air pollution control,"Air pollution monitoring system (online and offline monitoring, lab facilities, data display","facilities, data reporting systems )",Noise pollution data (as per regulatory authority),Whether EIA needed and done?,ISO Certification,"Green Building Certification IGBC, BREEA, LEED, DGNB)",Pre-assessment for Gold Rating,"Design of building (Passive Design, Building Orientation)",Record of major trees within plot,Any green measures taken up by industry,Incentives/ grants for greening industry/ resource efficiency etc.,Any National/ International Certification,(Mention Year of Certification),Property Tax payable (in Rs.),Regulatory Authority(property)
BD1_1_A4,SIDC Bhadrabad Site I,Haridwar,-,A4,,,,4577.32,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_A5,SIDC Bhadrabad Site I,Haridwar,-,A5,,,,4521.77,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_A6,SIDC Bhadrabad Site I,Haridwar,-,A6,,,,8173.76,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_A7,SIDC Bhadrabad Site I,Haridwar,-,A7,,,,8041.92,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_C1,SIDC Bhadrabad Site I,Haridwar,M TECH EQUIPMENTS,C1,1,3799.22,3799.22,5708.9,Proprietor,Manufacturing,Fabrcations,Orange,Alloted,0,0,0,info@eutechindia.in,9760009951,28-Jul-87,Yes,21-Oct-10,No,,Persently in Production,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_C2,SIDC Bhadrabad Site I,Haridwar,M/S SHAPE ENG. CO. PVT. LTD.,C2,1,5951,8196,2259.72,Company Pvt. Ltd.,Other,Heavy Fabrication III,Orange,In Production,1.2,40,25,"shape_engg@sancharnet.in, taurusbattery@hotmail.com",01334-2304,25-Jul-84,Yes,10-Dec-84,Yes,23-Aug-86,,4-Feb-88,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_C-3,SIDC Bhadrabad Site I,Haridwar,M/S MAX NOBLE PHONES,C-3,1,5951,5951,6164.65,Company Public Ltd.,Other,Mobile Phones Accessories,Orange,Others,12.83,100,0,info@maxxmobile.in,223366222,19-Jul-06,Select,21-Jul-06,Yes,24-Jul-06,Persently in Production,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_C4,SIDC Bhadrabad Site I,Haridwar,"SH, RAKESH KUMAR GOEL",C4,1,53260,53260,5768.63,Proprietor,Export Oriented,CFL& Electronics Items,Green,Others,0,0,0,0,1334315363,17-Nov-94,Yes,25-Mar-10,Yes,26-Mar-10,Persently in Production,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_C6,SIDC Bhadrabad Site I,Haridwar,M/s Rukmini Iron Pvt Ltd,C6,1,7896,7896,3563.74,Company Public Ltd.,Other,Mild steel pencil ingots plant,RED,Others,6,41,-,iron@rukmini.biz,1334-23512,28-Jul-87,Yes,25-Mar-04,No,,Persently in Production,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD1_1_C7,SIDC Bhadrabad Site I,Haridwar,-,C7,,,,3426.17,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
